phase,stufe,topology,attacker_name,defender_algo,run_id,episode,agent,env_id,algorithm,timestep,episode_reward,episode_length,atk_invalid,atk_valid,atk_cj_reached,atk_cj_step,atk_won,atk_max_owned,atk_hold_reward,atk_eviction,def_reimage,def_block,def_allow,def_stop_svc,def_stop_svc_clean,def_start_svc,def_invalid,def_recovered,def_sla_break_steps
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed2,1,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,54,5365.2751,54,0,54,1,29,1,10,37.27500000000002,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed2,2,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,93,5340.5502,39,0,39,1,29,1,10,17.549999999999997,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed2,3,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,109,5338.775,16,0,16,1,12,1,10,5.775,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed2,4,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,131,5343.2,22,0,22,1,14,1,10,10.2,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed2,5,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,155,5334.4752,24,0,24,1,14,1,10,11.474999999999998,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed2,6,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,182,5344.525,27,0,27,1,20,1,10,11.525000000000002,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed2,7,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,211,5350.6501,29,0,29,1,17,1,10,16.65,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed2,8,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,239,5332.2252,28,0,28,1,24,1,10,9.225,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed2,9,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,256,5340.0,17,0,17,1,11,1,10,7.0,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed2,10,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,297,5360.9,41,0,41,1,18,1,10,27.9,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed2,11,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,322,5355.6,25,0,25,1,15,1,10,12.600000000000001,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed2,12,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,359,5353.0501,37,0,37,1,13,1,10,25.05000000000001,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed2,13,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,383,5250.7248,24,0,24,1,24,1,10,7.725,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed2,14,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,422,5346.7002,39,0,39,1,19,1,10,23.699999999999996,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed2,15,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,451,5253.4498,29,0,29,1,29,1,10,10.450000000000003,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed2,16,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,489,5354.1002,38,0,38,1,16,1,10,25.09999999999999,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed2,17,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,515,5258.3248,26,0,26,1,26,1,10,9.325000000000001,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed2,18,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,551,5342.1002,36,0,36,1,24,1,10,19.099999999999994,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed2,19,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,581,5349.7001,30,0,30,1,10,1,10,21.700000000000006,0.0,,,,,,,,,
